Name,Birthdate,Gender,Location,UID,Last_online
Mason,29-10-1988,male,"(52.39588767186492, 13.365014743998971)",17cec5d3-ce9a-4e79-9849-d7990ddad53a,2023-07-30 17:19:33
Kevin,23-12-1994,male,"(52.47522473177956, 13.093020032856428)",bafa23e1-718d-441b-beb4-3001bf638004,2023-08-02 14:33:54
Kara,06-09-1999,female,"(52.589913166183, 13.417328856361644)",b07f8d33-08f7-485d-9d0d-c479ab182009,2023-08-03 13:12:15
Ralph,07-02-1983,male,"(52.554527864825545, 13.05292533197107)",7a892c5c-cd1c-4835-abda-533f16e19467,2023-07-30 13:02:00
Monique,24-04-1992,female,"(52.464700459490274, 13.35561985571164)",f1f7352d-c0e3-46b5-b523-c3e6626d9cfb,2023-08-02 12:35:17
Eric,09-04-1990,male,"(52.54714200467134, 13.740395593354844)",6a0c5d73-1917-4935-90b7-7caaeafc4181,2023-08-02 10:51:43
Mariah,13-04-1995,other,"(52.6383736292421, 13.601422619242081)",422d6cb3-b140-4e7c-9965-4404ef15d44a,2023-07-28 17:01:41
Justin,02-07-1984,male,"(52.437045635986955, 13.568026694869866)",ef828a9b-a2c4-4967-b717-f198507e7314,2023-07-30 11:53:36
Martha,28-07-1980,other,"(52.41680048075558, 13.51354008722603)",22a84dbc-45fb-4391-9775-ea86fb018a38,2023-08-03 07:26:20
Brittany,28-04-1991,other,"(52.637802995244215, 13.743769855492241)",65f697f9-00ec-4308-9749-776d4a685602,2023-07-28 04:28:29
Timothy,06-12-1979,male,"(52.4244029185093, 13.187310163461333)",481b247f-07ee-4800-9926-b58da82dcb5c,2023-08-02 08:38:25
Gregory,06-12-1990,male,"(52.42044882164969, 13.321373619224035)",8db3c3d9-5e75-4be2-a286-5565352e807e,2023-08-02 16:40:45
Thomas,12-08-1991,other,"(52.65242127398884, 13.077682644184778)",46e01745-11a6-44f5-8e11-a85e238e6da9,2023-08-01 07:07:37
Crystal,07-07-1974,female,"(52.405721396659644, 13.076081651461989)",c53f8889-4c5c-4db2-aae2-c280f77a5ad9,2023-07-30 20:45:54
Robert,14-08-2004,other,"(52.413372545768006, 13.446488854979904)",8b6f03c6-0752-4b71-828e-dc5534f97d07,2023-07-29 01:54:59
Andrew,26-01-1987,male,"(52.66346671775533, 13.753593857439151)",8f93b0ac-2519-41df-9528-4c9eb85535d9,2023-08-02 19:27:53
Ryan,08-09-1990,other,"(52.60647122373153, 13.742285538177773)",a816f7c5-cc68-454b-9da3-cbf1a062d760,2023-08-02 16:58:37
Carl,30-08-1996,other,"(52.59912662605011, 13.048854621622391)",6bfba2f1-f62d-4bc7-8a85-18b59fbb2569,2023-07-28 16:40:38
Brian,03-01-2005,male,"(52.648020612361314, 13.117739869089947)",61dd2c7c-f36c-4c40-9c39-80094c53b3c3,2023-08-01 09:28:01
Stuart,27-03-1989,other,"(52.66629061019963, 13.716594335278634)",d9fbca65-57bd-493b-a57e-e045a7a016e9,2023-08-02 17:52:33
Brooke,26-10-1987,other,"(52.48520327904257, 13.245784772239775)",d6fb7932-f7fb-4ec4-939c-71d4e88f8551,2023-07-28 15:28:21
Mariah,17-06-1975,female,"(52.61101043275175, 13.3108078135673)",d99a1515-aa82-4f92-b122-fca8a6c76b04,2023-07-28 02:25:32
Jacob,22-01-1984,male,"(52.42231258283825, 13.368868959022892)",06e9fd40-4074-4ff4-bbdc-482009904b0e,2023-08-01 16:26:10
Dennis,21-03-1980,other,"(52.56562591172887, 13.719911753159451)",4f1f7f51-3d44-4a8b-ac28-0c3ed23be23c,2023-07-29 00:25:50
Patrick,13-09-1980,male,"(52.42057660984784, 13.22834330411876)",7255c581-2dd9-4f4a-98dd-d4f91379dbe9,2023-07-29 07:12:52
Kathy,05-08-1998,other,"(52.66543193270931, 13.087998689914242)",537462e0-623e-4482-84cf-f3b0b93e2bd1,2023-07-28 04:56:47
